,Ratio of delays with adaptation over delays without adaptation,,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6037273402,1.000,1.000,1.000,0.833,0.086,0.007
6037273502,1.000,1.000,1.000,0.833,0.086,0.007
6037273600,1.000,1.000,1.000,0.833,0.086,0.007
6037273800,1.000,1.000,1.000,0.833,0.086,0.007
6037273902,1.000,1.000,1.000,0.833,0.086,0.007
6037274100,1.000,1.000,1.000,0.833,0.086,0.007
6037274202,1.000,1.000,1.000,0.833,0.086,0.007
6037275102,1.000,1.000,1.000,0.833,0.086,0.007
6037275302,1.000,1.000,1.000,0.833,0.086,0.007
6037275500,1.000,1.000,1.000,0.833,0.086,0.007
6037275602,1.000,1.000,1.000,0.833,0.086,0.007
6037275603,1.000,1.000,1.000,0.833,0.086,0.007
6037276601,1.000,1.000,1.000,0.833,0.086,0.007
6037278102,1.000,1.000,1.000,0.833,0.086,0.007
6037294701,1.000,0.661,0.564,0.596,0.214,0.036
6037294830,1.000,0.661,0.564,0.596,0.214,0.036
6037296210,1.000,0.643,0.541,0.582,0.213,0.028
6037297601,1.000,1.000,1.000,0.952,0.377,0.021
6037543400,1.000,0.608,0.495,0.521,0.160,0.029
6037572202,1.000,0.814,0.762,0.792,0.313,0.020
6037572700,1.000,0.742,0.669,0.703,0.272,0.031
6037572800,1.000,0.705,0.621,0.654,0.244,0.031
6037572900,1.000,0.767,0.702,0.735,0.291,0.029
6037573003,1.000,0.807,0.753,0.784,0.311,0.022
6037573100,1.000,0.833,0.786,0.815,0.324,0.018
6037574400,1.000,1.000,1.000,0.996,0.408,0.007
6037574500,1.000,1.000,1.000,0.996,0.412,0.011
6037574602,1.000,1.000,1.000,0.997,0.411,0.007
6037575401,1.000,0.839,0.794,0.823,0.331,0.019
6037575500,1.000,0.799,0.742,0.774,0.309,0.024
6037575801,1.000,0.838,0.793,0.823,0.333,0.019
6037575901,1.000,0.838,0.793,0.823,0.333,0.019
6037576001,1.000,0.840,0.795,0.824,0.334,0.019
6037576601,1.000,0.838,0.793,0.823,0.328,0.013
6037576602,1.000,0.837,0.791,0.824,0.335,0.015
6037576700,1.000,0.833,0.787,0.820,0.328,0.013
6037577200,1.000,0.835,0.789,0.822,0.330,0.013
6037577300,1.000,0.823,0.773,0.812,0.330,0.014
6037577400,1.000,0.820,0.770,0.811,0.331,0.014
6037577501,1.000,0.806,0.752,0.801,0.337,0.009
6037577504,1.000,0.824,0.774,0.813,0.330,0.014
6037577602,1.000,0.794,0.737,0.794,0.344,0.009
6037577603,1.000,0.822,0.772,0.812,0.330,0.014
6037577604,1.000,1.000,1.000,0.995,0.411,0.011
6037599000,0.000,0.000,0.000,0.000,0.000,0.000
6037599100,0.000,0.000,0.000,0.000,0.000,0.000
6037603102,1.000,1.000,1.000,0.749,0.166,0.116
6037620201,1.000,1.000,1.000,0.688,0.027,0.000
6037620305,1.000,1.000,1.000,0.688,0.027,0.000
6037620904,0.000,0.000,0.000,0.000,0.000,0.000
6037621002,0.000,0.000,0.000,0.000,0.000,0.000
6037621004,0.000,0.000,0.000,0.000,0.000,0.000
6037621104,0.000,0.000,0.000,0.000,0.000,0.000
6037621204,0.000,0.000,0.000,0.000,0.000,0.000
6037621324,0.000,0.000,0.000,0.000,0.000,0.000
6037621326,0.000,0.000,0.000,0.000,0.000,0.000
6037651304,0.000,0.000,0.000,0.000,0.000,0.000
6037670324,0.000,0.000,0.000,0.000,0.000,0.000
6037701304,1.000,1.000,1.000,0.834,0.086,0.007
6037701402,1.000,1.000,1.000,0.834,0.086,0.007
6037701902,1.000,1.000,1.000,0.833,0.086,0.007
6037702002,1.000,1.000,1.000,0.833,0.086,0.007
6037702102,1.000,1.000,1.000,0.833,0.086,0.007
6037702901,1.000,1.000,1.000,0.833,0.086,0.007
6037800406,0.000,0.000,0.000,0.000,0.000,0.000
6037800408,0.000,0.000,0.000,0.000,0.000,0.000
6037800504,0.000,0.000,0.000,0.000,0.000,0.000
6037800506,0.000,0.000,0.000,0.000,0.000,0.000
6037980006,1.000,1.000,1.000,0.999,0.414,0.007
6037980007,1.000,1.000,1.000,0.996,0.412,0.011
6037980014,1.000,0.767,0.701,0.728,0.284,0.029
6037980015,1.000,0.668,0.573,0.596,0.209,0.035
6037980028,1.000,1.000,1.000,0.833,0.086,0.007
6037980030,1.000,1.000,1.000,0.826,0.081,0.007
6037980031,1.000,0.835,0.789,0.818,0.329,0.019
6037980033,1.000,0.840,0.796,0.824,0.332,0.019
6041101100,1.000,1.000,0.745,0.673,0.408,0.104
6041101200,1.000,1.000,0.745,0.673,0.408,0.104
6041102100,1.000,1.000,0.696,0.610,0.298,0.045
6041104300,1.000,1.000,0.769,0.705,0.449,0.112
6041105000,1.000,1.000,0.838,0.792,0.613,0.265
6041106001,1.000,1.000,0.859,0.820,0.664,0.316
6041106002,1.000,1.000,0.868,0.834,0.708,0.335
6041110100,1.000,1.000,0.855,0.833,0.766,0.367
6041110200,1.000,1.000,0.856,0.833,0.765,0.366
6041112100,1.000,1.000,1.000,1.000,0.928,0.465
6041112201,1.000,1.000,1.000,1.000,0.955,0.501
6041112202,1.000,1.000,1.000,0.999,0.911,0.451
6041119100,1.000,1.000,1.000,1.000,0.925,0.465
6041119201,1.000,1.000,1.000,1.000,0.924,0.459
6041120000,1.000,1.000,1.000,0.999,0.911,0.452
6041121100,1.000,1.000,1.000,0.999,0.905,0.449
6041121200,1.000,1.000,1.000,0.999,0.908,0.445
6041123000,1.000,1.000,1.000,0.999,0.898,0.438
6041124100,1.000,1.000,1.000,0.999,0.900,0.453
6041124200,1.000,1.000,1.000,0.999,0.903,0.461
6041125000,1.000,1.000,1.000,0.999,0.911,0.477
6041126200,1.000,1.000,1.000,0.999,0.910,0.475
6041128100,1.000,1.000,1.000,0.999,0.911,0.481
6041128200,1.000,1.000,1.000,0.999,0.913,0.488
6041130201,1.000,1.000,1.000,0.998,0.784,0.252
6041130202,1.000,1.000,1.000,0.999,0.843,0.364
6041131100,1.000,1.000,0.872,0.851,0.750,0.341
6041132100,1.000,1.000,1.000,1.000,0.905,0.594
6041132200,1.000,1.000,1.000,1.000,1.000,1.000
6041133000,1.000,1.000,0.720,0.640,0.352,0.088
6045010200,1.000,1.000,1.000,1.000,1.000,1.000
6045010300,1.000,1.000,1.000,1.000,1.000,1.000
6045010400,1.000,1.000,1.000,1.000,1.000,1.000
6045010500,1.000,1.000,1.000,1.000,1.000,1.000
6045011001,1.000,1.000,1.000,1.000,1.000,1.000
6045011002,1.000,1.000,1.000,1.000,1.000,1.000
6045011102,0.000,0.000,0.000,0.000,0.000,0.000
6053010101,0.995,0.708,0.244,0.216,0.082,0.011
6053010202,0.995,0.708,0.244,0.216,0.082,0.011
6053010306,0.995,0.716,0.265,0.237,0.089,0.011
6053010400,1.000,0.884,0.315,0.280,0.089,0.000
6053010504,1.000,0.880,0.292,0.256,0.078,0.000
6053011400,0.000,0.000,0.000,0.000,0.000,0.000
6053011502,0.000,0.000,0.000,0.000,0.000,0.000
6053011604,1.000,1.000,1.000,1.000,0.885,0.577
6053011700,1.000,1.000,1.000,1.000,0.885,0.577
6053011802,1.000,1.000,1.000,1.000,0.885,0.577
6053011900,1.000,1.000,1.000,1.000,0.885,0.577
6053012401,1.000,1.000,1.000,1.000,0.885,0.577
6053012402,1.000,1.000,1.000,1.000,0.885,0.577
6053012502,1.000,1.000,1.000,1.000,0.885,0.577
6053012700,1.000,1.000,1.000,1.000,0.885,0.577
6053013000,1.000,1.000,1.000,1.000,0.885,0.577
6053013300,1.000,1.000,1.000,1.000,0.885,0.577
6053014000,1.000,1.000,1.000,1.000,0.885,0.577
6053014107,1.000,1.000,1.000,1.000,0.674,0.356
6053014301,1.000,0.972,0.367,0.308,0.079,0.000
6053014302,1.000,0.971,0.333,0.301,0.084,0.000
6053014601,0.995,0.716,0.265,0.237,0.089,0.011
6053014700,0.995,0.716,0.265,0.237,0.089,0.011
6055200202,1.000,1.000,1.000,1.000,1.000,0.879
6055200203,1.000,1.000,1.000,1.000,1.000,0.899
6055200301,1.000,1.000,1.000,1.000,1.000,0.899
6055200802,1.000,1.000,1.000,1.002,1.001,0.899
6055200900,1.000,1.000,1.000,1.002,1.001,0.899
6055201005,1.000,1.000,1.000,1.002,1.001,0.899
6055201006,1.000,1.000,1.000,1.004,1.003,0.834
6055201007,1.000,1.000,1.000,1.009,1.007,1.000
