Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
60014282002,NA,NA,NA,90%,87%,84%
60014282003,NA,NA,NA,100%,100%,100%
60014282005,NA,NA,NA,NA,NA,100%
60014283011,NA,NA,NA,100%,100%,100%
60014283012,NA,NA,NA,100%,100%,100%
60014283013,NA,NA,NA,100%,100%,100%
60014283014,NA,NA,NA,17%,76%,85%
60014283021,NA,NA,NA,100%,100%,100%
60014283022,NA,NA,NA,100%,100%,100%
60014283023,NA,NA,NA,100%,100%,100%
60014284001,NA,NA,NA,100%,92%,88%
60014285001,NA,NA,NA,NA,76%,88%
60014285002,NA,NA,NA,100%,100%,100%
60014286001,NA,NA,NA,72%,81%,77%
60014286002,NA,NA,NA,53%,83%,80%
60014286003,NA,NA,NA,100%,100%,100%
60014287001,NA,NA,NA,88%,84%,82%
60014287002,100%,100%,100%,100%,100%,100%
60014324001,NA,NA,NA,NA,NA,100%
60014324002,NA,NA,NA,NA,100%,100%
60014324003,NA,NA,NA,45%,82%,88%
60014333003,NA,NA,NA,NA,100%,100%
60014333004,NA,NA,NA,NA,NA,100%
60014334001,NA,NA,NA,NA,100%,100%
60014334002,NA,NA,NA,NA,100%,100%
60014334003,NA,NA,NA,NA,100%,100%
60014334004,NA,NA,NA,70%,80%,75%
60014334005,NA,NA,NA,NA,100%,100%
60014334006,NA,NA,NA,NA,100%,100%
60014335001,NA,NA,NA,NA,100%,100%
60014335002,NA,NA,NA,NA,100%,100%
60014335003,NA,NA,NA,NA,100%,100%
60014335004,NA,NA,NA,NA,NA,100%
60014336001,NA,NA,NA,NA,100%,100%
60014336004,NA,NA,NA,NA,100%,100%
60014359003,NA,NA,46%,74%,99%,99%
60014359004,NA,NA,NA,NA,NA,100%
60014360002,NA,NA,100%,100%,100%,100%
60014360003,NA,NA,NA,100%,100%,100%
60014371011,NA,NA,NA,41%,65%,67%
60014371012,NA,NA,NA,100%,100%,100%
60014371013,NA,NA,NA,NA,NA,100%
60014382012,NA,NA,NA,NA,NA,100%
60014382013,NA,NA,NA,NA,NA,100%
60014382031,NA,NA,NA,55%,82%,84%
60014382043,NA,NA,16%,43%,78%,81%
60014384001,NA,NA,NA,NA,100%,100%
60014384002,NA,NA,NA,64%,83%,82%
60014403012,NA,NA,NA,NA,NA,100%
60014403041,NA,NA,100%,100%,100%,100%
60014403042,NA,NA,100%,100%,100%,100%
