,Hours lost (hours / person / year),,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6037599000,0,0,0,0,0,0
6037599100,0,0,0,0,0,0
6037603102,2,9,27,56,98,120
6037620201,4,25,76,155,273,334
6037620305,1,7,20,41,73,89
6037620904,0,0,0,0,0,0
6037621002,0,0,0,0,0,0
6037621004,0,0,0,0,0,0
6037621104,0,0,0,0,0,0
6037621204,0,0,0,0,0,0
6037621324,0,0,0,0,0,0
6037621326,0,0,0,0,0,0
6037651304,0,0,0,0,0,0
6037670324,0,0,0,0,0,0
6037701304,21,123,372,749,1324,1619
6037701402,22,130,394,793,1402,1714
6037701902,29,167,507,1021,1804,2205
6037702002,21,121,366,737,1302,1592
6037702102,22,128,387,780,1378,1684
6037702901,14,79,238,480,849,1038
6037800406,0,0,0,0,0,0
6037800408,0,0,0,0,0,0
6037800504,0,0,0,0,0,0
6037800506,0,0,0,0,0,0
6037980006,0,0,0,0,0,0
6037980007,0,0,0,0,0,0
6037980014,11934,69576,211050,388958,644028,787112
6037980015,151,878,2656,4690,7508,9176
6037980028,0,0,0,0,0,0
6037980030,0,0,0,0,0,0
6037980031,152,885,2689,5098,8621,10536
6037980033,12441,72528,220463,418796,709165,866722
6041101100,19,145,499,1009,1731,2071
6041101200,16,129,442,895,1535,1837
6041102100,18,138,473,956,1640,1962
6041104300,33,260,893,1806,3098,3706
6041105000,11,88,301,609,1044,1249
6041106001,21,162,557,1126,1932,2311
6041106002,16,125,430,869,1491,1783
6041110100,15,119,409,828,1421,1700
6041110200,17,137,469,949,1627,1947
6041112100,14,107,366,741,1272,1521
6041112201,7,57,196,397,681,815
6041112202,14,106,364,737,1264,1512
6041119100,13,101,348,703,1207,1444
6041119201,19,148,506,1023,1756,2100
6041120000,11,83,286,579,993,1188
6041121100,12,91,311,628,1078,1289
6041121200,11,85,293,592,1016,1215
6041123000,23,177,606,1226,2104,2516
6041124100,10,82,283,571,980,1173
6041124200,10,76,262,530,909,1087
6041125000,12,98,335,678,1163,1392
6041126200,13,101,347,702,1204,1440
6041128100,8,64,220,445,764,914
6041128200,11,88,300,607,1042,1247
6041130201,7,52,178,360,618,740
6041130202,7,55,189,382,655,784
6041131100,83,653,2241,4532,7775,9301
6041132100,4,28,98,198,339,405
6041132200,0,3,12,24,41,48
6041133000,16,125,428,866,1486,1777
6045010200,0,1,3,7,11,14
6045010300,0,1,4,7,12,15
6045010400,0,1,3,6,11,13
6045010500,0,1,2,4,7,9
6045011001,0,0,1,3,5,6
6045011002,0,1,2,4,7,9
6045011102,0,0,0,0,0,0
6053010101,3,24,80,166,286,339
6053010202,3,25,86,179,307,364
6053010306,10,84,287,594,1021,1209
6053010400,2,14,48,99,171,203
6053010504,2,18,62,128,220,261
6053011400,0,0,0,0,0,0
6053011502,0,0,0,0,0,0
6053011604,0,2,8,17,29,35
6053011700,0,1,5,10,17,20
6053011802,0,3,10,20,35,41
6053011900,0,1,4,9,16,19
6053012401,0,3,10,22,37,44
6053012402,0,2,6,13,23,27
6053012502,0,1,4,8,13,15
6053012700,0,1,5,11,18,22
6053013000,0,2,5,11,20,23
6053013300,0,1,3,6,10,12
6053014000,0,2,7,15,25,30
6053014107,0,1,4,8,13,16
6053014301,2,16,55,114,197,233
6053014302,2,12,42,87,149,176
6053014601,3,20,69,143,246,292
6053014700,2,16,55,113,195,231
6055200202,0,3,10,21,36,43
6055200203,0,4,16,31,51,61
6055200301,0,2,7,13,22,26
6055200802,0,2,6,12,20,24
6055200900,1,13,51,101,165,199
6055201005,0,4,15,30,49,59
6055201006,0,1,5,10,15,18
6055201007,0,0,2,3,5,5
6055201102,0,5,20,40,66,80
6059042103,0,0,0,0,0,0
6059042106,0,0,0,0,0,0
6059042108,0,0,0,0,0,0
6059042201,0,1,2,3,5,7
6059042310,0,0,1,2,3,4
6059042313,0,0,1,2,4,5
6059062604,9,50,151,303,526,637
6059062605,0,1,3,5,10,12
6059062610,37,215,652,1306,2272,2751
6059062614,8,45,137,274,477,577
6059062619,0,1,2,4,7,9
6059062632,0,1,2,4,7,9
6059062702,30,174,526,1053,1832,2219
6059062800,97,558,1689,3384,5887,7129
6059062900,245,1412,4276,8568,14903,18048
6059063004,54,314,952,1907,3317,4017
6059063005,182,1050,3178,6368,11076,13414
6059063006,86,493,1493,2992,5204,6302
6059063007,38,221,669,1341,2332,2824
6059063009,215,1240,3754,7522,13085,15846
6059063010,57,330,999,2003,3483,4218
6059063500,59,341,1032,2067,3596,4355
6059063601,113,655,1982,3972,6909,8367
6059063603,66,382,1158,2320,4036,4887
6059063803,110,633,1917,3841,6681,8091
6059099214,126,728,2207,4422,7691,9314
6059099215,93,537,1627,3261,5673,6870
6059099217,214,1236,3742,7498,13043,15795
6059099220,93,539,1633,3272,5691,6892
6059099231,83,483,1462,2930,5097,6173
6059099237,140,807,2444,4897,8518,10316
6059099238,123,711,2153,4314,7505,9088
6059099239,142,822,2490,4989,8679,10510
6059099240,88,511,1547,3100,5392,6529
6059099243,113,655,1984,3975,6915,8374
6059099244,133,770,2333,4674,8131,9846
6059099245,164,948,2873,5757,10015,12128
6059099246,131,756,2289,4588,7980,9664
6059099307,179,1033,3127,6266,10900,13200
6059099308,69,397,1202,2408,4188,5072
6059099310,101,582,1763,3533,6145,7442
6059099311,143,827,2507,5024,8739,10583
6059099402,47,269,816,1636,2845,3445
6059099404,95,547,1658,3323,5781,7000
6059099405,90,520,1574,3154,5487,6645
6059099406,69,402,1219,2442,4248,5144
6059099407,136,788,2387,4783,8319,10075
6059099408,63,366,1110,2223,3867,4684
6059099412,86,499,1511,3028,5267,6378
6059099413,48,276,836,1674,2912,3527
6059099415,76,440,1334,2674,4651,5632
6059099416,51,297,899,1801,3133,3794
6059099417,69,401,1216,2437,4238,5133
6059099502,448,2595,7864,15758,27411,33195
6059099504,67,390,1183,2370,4123,4992
6059099506,198,1146,3474,6961,12108,14662
6059099508,46,267,809,1621,2820,3415
6059099509,33,190,576,1154,2007,2431
6059099510,28,162,492,985,1713,2075
6059099511,57,330,999,2001,3481,4216
6059099512,38,220,665,1334,2320,2809
6059099513,90,519,1571,3149,5477,6633
6059099514,44,253,767,1537,2674,3238
6059099603,34,199,603,1208,2102,2546
6059110007,9,51,155,311,541,655
6059110008,17,97,293,586,1020,1235
6059110012,36,210,636,1275,2218,2686
6067003300,0,0,0,0,0,0
6067003400,0,0,0,0,0,0
6067003800,0,0,0,0,0,0
6067003900,0,0,0,0,0,0
6067004001,0,0,0,0,0,0
6067004004,0,0,0,0,0,0
6067004005,0,0,0,0,0,0
6067004006,0,0,0,0,0,0
6067004008,0,0,0,0,0,0
6067004009,0,0,0,0,0,0
6067004010,0,0,0,0,0,0
6067004011,0,0,0,0,0,0
6067004012,0,0,0,0,0,0
6067004100,0,0,0,0,0,0
6067004201,0,0,0,0,0,0
6067004202,0,0,0,0,0,0
6067004203,0,0,0,0,0,0
6067004300,0,0,0,0,0,0
6067007004,0,0,0,0,0,0
6067007011,0,0,0,0,0,0
6067007012,0,0,0,0,0,0
6067007013,0,0,0,0,0,0
6067007015,0,0,0,0,0,0
6067007016,0,0,0,0,0,0
6067007017,0,0,0,0,0,0
6067007018,0,0,0,0,0,0
6067007019,0,0,0,0,0,0
6067007020,0,0,0,0,0,0
6067007103,0,0,0,0,0,0
6067007104,0,0,0,0,0,0
6067007105,0,0,0,0,0,0
6067007106,0,0,0,0,0,0
6067007107,0,0,0,0,0,0
6067009501,0,0,0,0,0,0
6067009601,0,0,0,0,0,0
6067009618,0,0,0,0,0,0
6067009619,0,0,0,0,0,0
6067009622,0,0,0,0,0,0
6067009635,0,0,0,0,0,0
6067009638,0,0,0,0,0,0
6067009800,0,0,0,0,0,0
6067009900,0,0,0,0,0,0
6073005000,10,50,147,291,509,626
6073005100,4,21,60,120,209,257
6073005400,3,17,49,96,169,208
6073005800,10,53,155,307,537,661
6073006200,5527,28845,84773,168176,294450,362064
6073006300,34,178,522,1035,1812,2228
6073006500,39,202,593,1177,2061,2534
6073006600,67,351,1032,2048,3585,4408
6073006801,43,223,655,1299,2275,2798
6073006802,23,118,347,688,1205,1482
6073007100,25,133,390,775,1356,1668
6073007301,23,118,346,686,1201,1476
6073007501,30,157,463,918,1608,1977
6073007502,38,200,587,1165,2040,2508
6073007600,26,138,406,805,1410,1734
6073007701,31,161,472,936,1639,2015
6073007800,19,99,290,576,1009,1241
6073007905,40,209,616,1221,2139,2630
6073007910,39,203,596,1181,2069,2544
6073008003,28,146,428,849,1487,1828
6073008006,28,146,428,849,1487,1829
6073008200,34,181,531,1054,1845,2269
6073008312,2,8,24,49,85,105
6073008324,1,4,11,22,39,47
6073008327,1,5,16,32,55,68
6073008339,5,26,78,154,270,332
6073008902,57,299,879,1743,3052,3753
6073009902,0,0,0,0,0,0
6073010103,2,13,37,74,129,159
6073010107,2,9,25,50,88,109
6073010109,2,10,31,61,107,132
6073010200,2,8,25,49,86,106
6073010501,7,36,106,211,370,454
6073010502,2,13,38,75,131,162
6073010601,11,53,157,311,545,671
6073010900,13,64,189,374,655,806
6073011000,7,35,102,202,353,435
6073011100,6,28,83,164,288,354
6073011300,45,237,696,1380,2417,2971
6073011602,4,22,64,127,222,273
6073012401,5,27,79,157,275,339
6073012502,5,26,77,153,267,328
6073012600,4,20,59,118,206,254
6073013103,5,29,84,167,292,359
6073017029,1,3,10,20,35,43
6073017106,1,7,19,39,68,83
6073017200,1,7,22,43,75,92
6073017303,2,11,34,67,117,144
6073017305,2,10,29,57,100,123
6073017401,1,6,16,32,57,70
6073017404,1,5,14,27,48,59
6073017601,0,1,2,5,8,10
6073017701,0,1,2,5,9,11
6073017801,0,2,5,11,19,23
6073017808,0,1,2,4,7,9
6073017810,0,2,6,11,19,24
6073017813,1,3,10,19,33,41
6073017900,0,2,5,10,18,22
6073018000,1,3,8,16,28,34
6073018100,0,2,6,11,20,24
6073018300,1,5,16,32,55,68
6073018400,1,4,11,22,38,47
6073018504,0,2,5,10,18,22
6073018603,0,2,5,11,19,23
6073018700,0,0,1,2,3,4
6073021400,17,90,265,526,921,1133
6073021600,9,48,142,282,493,606
6073021800,11,55,163,322,565,694
6073021900,4,18,54,107,188,231
6073022100,0,1,4,8,13,16
6075010100,4,34,123,247,420,524
6075010200,3,30,110,222,376,469
6075010500,5,49,180,361,613,765
6075011700,9,85,311,623,1058,1321
6075012602,5,48,177,354,601,751
6075012700,3,32,118,237,401,501
6075017801,4,41,150,302,512,639
6075017802,3,26,95,191,324,404
6075017902,5,49,179,360,611,762
6075018000,5,49,178,357,605,755
6075022600,6,57,208,416,707,882
6075023103,2,16,58,116,196,245
6075023200,1,10,37,73,125,156
6075023400,1,11,42,84,142,178
6075035201,0,2,8,16,28,35
6075035202,0,3,10,20,34,42
6075035400,0,1,5,11,19,23
6075047901,0,3,10,20,35,43
6075060100,4,36,133,268,454,567
6075060400,4,34,123,247,420,524
6075060700,1,12,45,90,154,192
6075061000,1,9,32,63,107,134
6075061500,1,10,37,75,127,158
6075980600,8,73,266,534,906,1131
6075980900,58,552,2021,4052,6878,8584
6077000100,0,0,0,0,0,0
6077000300,0,0,0,0,0,0
6077000401,0,0,0,0,0,0
6077000402,0,0,0,0,0,0
6077000700,0,0,0,0,0,0
6077000801,0,0,0,0,0,0
6077000900,0,0,0,0,0,0
6077001000,0,0,0,0,0,0
6077001101,0,0,0,0,0,0
6077001102,0,0,0,0,0,0
6077001200,0,0,0,0,0,0
6077001300,0,0,0,0,0,0
6077001400,0,0,0,0,0,0
6077002300,0,0,0,0,0,0
6077002401,0,0,0,0,0,0
6077002402,0,0,0,0,0,0
6077002503,0,0,0,0,0,0
6077002504,0,0,0,0,0,0
6077003106,0,0,0,0,0,0
6077003108,0,0,0,0,0,0
6077003109,0,0,0,0,0,0
6077003110,0,0,0,0,0,0
6077003111,0,0,0,0,0,0
6077003112,0,0,0,0,0,0
6077003113,0,0,0,0,0,0
6077003114,0,0,0,0,0,0
6077003203,0,0,0,0,0,0
6077003205,0,0,0,0,0,0
6077003208,0,0,0,0,0,0
6077003209,0,0,0,0,0,0
6077003210,0,0,0,0,0,0
6077003213,0,0,0,0,0,0
6077003214,0,0,0,0,0,0
6077003215,0,0,0,0,0,0
6077003216,0,0,0,0,0,0
6077003217,0,0,0,0,0,0
6077003307,0,0,0,0,0,0
6077003308,0,0,0,0,0,0
6077003801,0,0,0,0,0,0
6077003802,0,0,0,0,0,0
6077003803,0,0,0,0,0,0
6077003900,0,0,0,0,0,0
6077004001,0,0,0,0,0,0
6077004002,0,0,0,0,0,0
6077004106,0,0,0,0,0,0
6077004600,0,0,0,0,0,0
6077005106,0,0,0,0,0,0
6077005119,0,0,0,0,0,0
6077005122,0,0,0,0,0,0
6077005127,0,0,0,0,0,0
6077005202,0,0,0,0,0,0
6077005206,0,0,0,0,0,0
6077005501,0,0,0,0,0,0
6079010403,0,0,0,0,0,0
6079010404,0,0,0,0,0,0
6079010503,0,1,2,4,7,8
6079010504,0,1,2,5,9,10
6079010602,0,1,2,5,8,9
6079010603,0,2,7,15,26,32
6079010701,0,0,2,3,6,7
6079010707,0,0,1,3,4,5
6079011600,1,10,35,73,126,151
6079011704,1,11,36,76,132,157
6079012102,0,3,12,24,43,51
6079012200,0,3,9,19,33,40
6079012304,0,2,6,13,22,26
6079013000,0,1,4,7,13,16
6081600100,7,69,251,504,855,1067
6081601000,2,15,54,109,185,231
6081602300,17,161,587,1178,1999,2495
6081603100,11,102,374,749,1272,1588
6081603200,5,47,172,346,587,732
6081604101,6,52,192,384,652,814
6081604200,12,115,421,845,1434,1790
6081604400,20,189,693,1390,2360,2946
6081605000,17,160,585,1172,1990,2484
6081605100,67,631,2309,4630,7858,9808
6081605400,55,518,1895,3800,6450,8050
