Date,Value
195606,70.36
195607,73.06
195608,71.69
195609,65.1
195610,56.16
195611,40.32
195612,36.23
195701,27.07
195702,38.07
195703,41.27
195704,50.7
195705,59.65
195706,68.7
195707,74.28
195708,71.65
195709,64.18
195710,51.67
195711,40.26
195712,37
195801,31.6
195802,31.98
195803,37.67
195804,50.27
195805,62.42
195806,67.93
195807,72.63
195808,73.29
195809,65.43
195810,54.73
195811,43.02
195812,32.22
195901,29.5
195902,32.49
195903,41.45
195904,51.6
195905,60.84
195906,69.96
195907,73.58
195908,73.17
195909,64.74
195910,53.33
195911,38.66
195912,35.94
196001,29.46
196002,30.52
196003,35.91
196004,52.59
196005,59.31
196006,69.08
196007,73.89
196008,72.21
196009,66.45
196010,54.77
196011,42.73
196012,30.4
196101,29.71
196102,37.42
196103,43.47
196104,48.67
196105,58.87
196106,69.49
196107,73.24
196108,72.7
196109,63.41
196110,53.85
196111,40.5
196112,31.08
196201,26.96
196202,34.92
196203,37.9
196204,51.84
196205,62.24
196206,67.91
196207,72.07
196208,72.12
196209,64.18
196210,56.12
196211,43.18
196212,33.4
196301,24.44
196302,34.12
196303,43.72
196304,51.89
196305,61.02
196306,68.67
196307,73.6
196308,71.98
196309,66.34
196310,59.36
196311,44.04
196312,27.9
196401,31.53
196402,31.77
196403,38.82
196404,51.3
196405,61.43
196406,68
196407,74.66
196408,70.72
196409,63.7
196410,53.78
196411,42.33
196412,32.04
196501,31.8
196502,32.52
196503,35.44
196504,51.89
196505,60.8
196506,66.85
196507,72.61
196508,71.06
196509,61.77
196510,54.99
196511,44.65
196512,35.85
196601,26.38
196602,31.24
196603,43
196604,49.96
196605,60.19
196606,67.93
196607,75.07
196608,70.86
196609,64.54
196610,52.83
196611,43.21
196612,32.68
196701,33.1
196702,32.88
196703,43.63
196704,51.01
196705,57.63
196706,67.55
196707,72.52
196708,71.22
196709,64.06
196710,53.92
196711,41.54
196712,32.07
196801,28.94
196802,32.92
196803,43.56
196804,50.58
196805,58.17
196806,68.5
196807,72.86
196808,70.59
196809,63.9
196810,54.64
196811,41.14
196812,30.04
196901,29.37
196902,32.81
196903,36.03
196904,52.63
196905,61.41
196906,66.83
196907,74.1
196908,73.22
196909,65.55
196910,51.03
196911,41.59
196912,33.46
197001,27.14
197002,35.35
197003,38.5
197004,49.44
197005,61.07
197006,68.74
197007,73.96
197008,73.38
197009,64.58
197010,52.27
197011,41.31
197012,33.58
197101,29.41
197102,33.48
197103,39.65
197104,50.27
197105,58.26
197106,69.44
197107,72.36
197108,72.01
197109,64.33
197110,55.08
197111,41.61
197112,33.98
197201,29.93
197202,33.55
197203,44.04
197204,50.81
197205,60.53
197206,68.22
197207,72.18
197208,71.67
197209,64.44
197210,52.29
197211,38.93
197212,29.86
197301,29.59
197302,33.58
197303,44.29
197304,48.83
197305,59.23
197306,68.95
197307,73.26
197308,72.61
197309,64.4
197310,56.07
197311,42.93
197312,33.71
197401,31.01
197402,34.74
197403,44.38
197404,51.55
197405,60.37
197406,68.49
197407,74.08
197408,70.3
197409,62.31
197410,53.89
197411,42.39
197412,33.66
197501,32.34
197502,32.76
197503,38.7
197504,46.85
197505,60.35
197506,67.51
197507,73.56
197508,71.53
197509,62.89
197510,54.63
197511,42.6
197512,34.29
197601,29.93
197602,39.56
197603,42.31
197604,51.85
197605,59.04
197606,67.8
197607,72.9
197608,70.66
197609,64.18
197610,50
197611,38.48
197612,30.92
197701,23.09
197702,36.03
197703,43.18
197704,54.07
197705,61.66
197706,70.34
197707,74.43
197708,71.78
197709,65.93
197710,53.98
197711,42.87
197712,33.28
197801,25.86
197802,27.99
197803,41.31
197804,51.58
197805,59.74
197806,68.94
197807,73.8
197808,71.8
197809,65.84
197810,54.41
197811,41.47
197812,29.8
197901,21.9
197902,28.13
197903,42.06
197904,50.14
197905,59.13
197906,67.82
197907,73.13
197908,70.97
197909,66.09
197910,55.26
197911,39.94
197912,36.03
198001,31.12
198002,32.85
198003,39.36
198004,51.44
198005,60.28
198006,68.74
198007,75.76
198008,72.79
198009,66.24
198010,52.59
198011,42.31
198012,35.19
198101,32.41
198102,36.59
198103,42.85
198104,55.13
198105,58.96
198106,69.82
198107,73.96
198108,72.1
198109,64.92
198110,52.32
198111,44.74
198112,33.66
198201,26.22
198202,32.59
198203,42.03
198204,48.63
198205,60.8
198206,66.33
198207,73.2
198208,72.09
198209,64.04
198210,53.26
198211,41.13
198212,35.82
198301,33.12
198302,36.86
198303,42.4
198304,47.01
198305,57.94
198306,67.1
198307,73.99
198308,75.06
198309,65.59
198310,55
198311,43.03
198312,25.47
198401,28.83
198402,37.38
198403,40.08
198404,49.6
198405,60.08
198406,68.61
198407,73.17
198408,73.13
198409,63.14
198410,53.6
198411,41.54
198412,34.54
198501,26.31
198502,30.87
198503,43.48
198504,54.36
198505,62.08
198506,68.11
198507,74.05
198508,71.02
198509,62.73
198510,54.3
198511,39.51
198512,28.81
198601,34.68
198602,35.85
198603,46.18
198604,52.86
198605,61.09
198606,70.41
198607,73.51
198608,71.73
198609,63.7
198610,54.01
198611,41.4
198612,34.43
198701,31.44
198702,37.38
198703,42.57
198704,53.53
198705,62.96
198706,70.25
198707,73.27
198708,71.87
198709,65.25
198710,52.95
198711,43.97
198712,34.54
198801,27.79
198802,33.69
198803,42.4
198804,51.82
198805,61.21
198806,70.88
198807,74.79
198808,73.67
198809,64.6
198810,53.96
198811,43.29
198812,33.46
198901,34.09
198902,29.17
198903,42.67
198904,52.88
198905,60.46
198906,68.13
198907,74.23
198908,71.31
198909,64.08
198910,54.34
198911,42.93
198912,27.73
199001,36.5
199002,36.7
199003,44.74
199004,52.52
199005,58.86
199006,70.23
199007,73.26
199008,72.28
199009,67.35
199010,53.98
199011,44.92
199012,30.83
199101,29.48
199102,39.81
199103,43.32
199104,52.54
199105,61.97
199106,69.08
199107,73.89
199108,72.99
199109,64.9
199110,54.75
199111,39.43
199112,35.74
199201,33.62
199202,39.7
199203,44.71
199204,52.54
199205,61.16
199206,67.44
199207,71.22
199208,69.84
199209,64.67
199210,54.54
199211,40.06
199212,31.75
199301,30.47
199302,31.14
199303,41.79
199304,49.91
199305,60.89
199306,67.21
199307,72.16
199308,71.89
199309,63.3
199310,52.97
199311,39.22
199312,34.2
199401,29.34
199402,31.87
199403,44.51
199404,52.66
199405,60.67
199406,70.95
199407,73.62
199408,72.21
199409,65.55
199410,54.21
199411,42.57
199412,36.23
199501,33.08
199502,37.36
199503,43.34
199504,49.41
199505,58.64
199506,67.55
199507,73.54
199508,74.32
199509,64.69
199510,54.45
199511,42.04
199512,33.42
199601,29.7
199602,35.69
199603,39.02
199604,50.65
199605,60.98
199606,69.87
199607,73.63
199608,72.43
199609,63.46
199610,53.65
199611,39.63
199612,33.91
199701,29.95
199702,36.05
199703,44.67
199704,47.91
199705,59.4
199706,68.31
199707,73.18
199708,71.74
199709,66.42
199710,53.92
199711,40.87
199712,34
199801,34.99
199802,38.71
199803,41.34
199804,51.06
199805,62.47
199806,68.13
199807,75.49
199808,74.03
199809,68.99
199810,55.13
199811,44.91
199812,35.55
199901,33.78
199902,39.49
199903,42.8
199904,51.55
199905,60.06
199906,68.31
199907,74.3
199908,72.91
199909,64.35
199910,54.75
199911,48.11
199912,36.1
200001,33.57
200002,39.78
200003,46.04
200004,52.59
200005,63.14
200006,69.03
200007,73.87
200008,74.05
200009,65.57
200010,55.09
200011,38.03
200012,28.44
200101,31.35
200102,33.98
200103,41.49
200104,53.08
200105,62.82
200106,69.24
200107,74.48
200108,74.3
200109,65.7
200110,54.37
200111,47.41
200112,36.12
200201,34.48
200202,36.39
200203,39.54
200204,53.49
200205,59.29
200206,70.86
200207,75.85
200208,72.86
200209,66.85
200210,51.84
200211,41.97
200212,35.08
200301,32.81
200302,32.79
200303,43.3
200304,51.89
200305,60.98
200306,68.05
200307,75.47
200308,74.66
200309,64.96
200310,56.55
200311,42.35
200312,35.29
200401,30.34
200402,33.57
200403,47.41
200404,52.68
200405,61.92
200406,68.09
200407,72.9
200408,70.16
200409,65.66
200410,55.36
200411,43.99
200412,35.06
200501,33.39
200502,37.94
200503,42.31
200504,52.27
200505,59.56
200506,69.21
200507,75.31
200508,73.2
200509,67.37
200510,55.38
200511,45.01
200512,32.7
200601,38.93
200602,34.83
200603,42.62
200604,55.26
200605,62.28
200606,70.75
200607,76.41
200608,73.4
200609,63.3
200610,52.59
200611,44.08
200612,36.57
200701,31.35
200702,32.41
200703,47.66
200704,50.54
200705,62.33
200706,69.87
200707,74.7
200708,74.64
200709,66.43
200710,56.68
200711,44.01
200712,33.22
200801,30.27
200802,34.7
200803,41.86
200804,50.4
200805,59.36
200806,69.6
200807,74.08
200808,72.28
200809,65.21
200810,53.98
200811,43.92
200812,31.87
200901,31.05
200902,36.77
200903,42.87
200904,50.92
200905,61.65
200906,68.54
200907,72.63
200908,71.89
200909,66.38
200910,50.5
200911,45.84
200912,29.64
201001,30.67
201002,31.8
201003,43.57
201004,53.24
201005,59.88
201006,70.48
201007,74.71
201008,74.05
201009,66.49
201010,56.14
201011,42.31
201012,32.47
201101,29.71
201102,33.04
201103,43.07
201104,51.96
201105,59.13
201106,69.82
201107,76.14
201108,75
201109,66.09
201110,55.09
201111,43.75
201112,35.4
201201,36.12
201202,37.51
201203,50.41
201204,54.68
201205,63.45
201206,70.54
201207,76.77
201208,73.8
201209,66.31
201210,53.89
201211,44.01
201212,35.92
201301,32.25
201302,34.77
201303,40.91
201304,49.68
201305,60.85
201306,70.39
201307,74.21
201308,72.99
201309,66.96
201310,53.44
201311,41.61
201312,31.06
201401,30.56
201402,32.13
201403,40.51
201404,51.69
201405,61.27
201406,69.58
201407,73.29
201408,72.25
201409,66.2
201410,56.93
201411,39.25
201412,36.81
201501,33.08
201502,32.99
201503,45.39
201504,53.24
201505,60.84
201506,71.37
201507,73.92
201508,72.95
201509,68.54
201510,57.24
201511,44.6
201512,38.66
201601,32.22
201602,39.47
201603,47.5
201604,53.19
201605,60.33
201606,71.76
201607,75.22
201608,73.53
201609,67.12
201610,57.72
201611,47.97
201612,32.95
201701,33.57
201702,41.18
201703,46.15
201704,53.8
201705,60.57
201706,70.36
201707,75.7
201708,72.01
201709,66.27
201710,55.69
201711,45.03
201712,34.29
201801,32.16
201802,35.51
201803,42.73
201804,49.03
201805,65.52
201806,71.55
201807,75.45
201808,73.51
201809,67.53
201810,53.71
201811,40.01
201812,35.51
201901,32.56
201902,31.84
201903,40.28
201904,52.84
201905,59.49
201906,68.72
201907,74.62
201908,73.74
201909,68.43
201910,52.05
201911,41.11
201912,36.43
202001,35.55
202002,36.18
202003,46.08
202004,50.88
202005,60.91
202006,70.29
202007,75.65
202008,74.71
202009,65.91
202010,54.28
202011,46.31
202012,35.71
202101,34.59
202102,30.6
202103,45.52
202104,51.85
202105,60.35
202106,72.59
202107,75.42
202108,73.98
202109,67.8
202110,56.97
202111,45.07
202112,39.34
202201,31.17
