Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
1.2011E+11,0%,0%,18%,55%,78%,84%
1.2011E+11,0%,0%,0%,8%,19%,28%
1.2011E+11,0%,0%,1%,4%,13%,25%
1.2011E+11,0%,0%,2%,14%,58%,73%
1.2011E+11,0%,0%,1%,8%,30%,53%
1.2011E+11,0%,0%,15%,42%,73%,85%
1.2011E+11,0%,0%,13%,58%,100%,100%
1.2011E+11,0%,0%,24%,83%,98%,98%
1.2011E+11,0%,0%,39%,100%,100%,100%
1.2011E+11,0%,0%,34%,80%,96%,99%
1.2011E+11,0%,0%,0%,1%,4%,7%
1.2011E+11,0%,0%,0%,8%,56%,76%
1.2011E+11,0%,0%,0%,0%,21%,52%
1.2011E+11,0%,0%,0%,0%,0%,9%
1.2011E+11,0%,1%,4%,13%,21%,26%
1.2011E+11,0%,0%,1%,11%,63%,91%
1.2011E+11,0%,0%,45%,92%,100%,100%
1.2011E+11,0%,0%,0%,7%,35%,48%
1.2011E+11,0%,0%,3%,27%,79%,92%
1.2011E+11,0%,0%,1%,6%,24%,47%
1.2011E+11,0%,0%,21%,48%,73%,92%
1.2011E+11,0%,0%,21%,53%,81%,88%
1.2011E+11,0%,0%,3%,41%,97%,100%
1.2011E+11,0%,0%,14%,56%,88%,93%
1.2011E+11,0%,0%,49%,85%,91%,88%
1.2011E+11,0%,0%,7%,24%,46%,57%
1.2011E+11,0%,0%,15%,36%,48%,55%
1.2011E+11,0%,0%,20%,41%,52%,65%
1.2011E+11,0%,0%,4%,42%,98%,100%
1.2011E+11,0%,0%,2%,21%,72%,91%
1.2011E+11,0%,0%,0%,2%,39%,69%
1.2011E+11,0%,0%,41%,95%,100%,100%
1.2011E+11,0%,0%,58%,100%,100%,100%
1.2011E+11,0%,0%,36%,86%,94%,93%
1.2011E+11,0%,0%,2%,50%,100%,100%
1.2011E+11,0%,0%,2%,41%,100%,100%
1.2011E+11,0%,0%,2%,21%,77%,96%
1.2011E+11,0%,0%,7%,62%,100%,100%
1.2011E+11,0%,0%,0%,9%,42%,62%
1.2011E+11,0%,0%,0%,3%,42%,67%
1.2011E+11,0%,0%,0%,0%,0%,1%
1.2011E+11,0%,0%,0%,0%,0%,0%
1.2011E+11,0%,0%,13%,49%,54%,56%
1.2011E+11,0%,0%,0%,0%,1%,11%
1.2011E+11,0%,0%,15%,62%,66%,72%
1.2011E+11,0%,0%,4%,27%,56%,71%
1.2011E+11,0%,0%,21%,78%,78%,78%
1.2011E+11,0%,0%,17%,65%,66%,66%
1.2011E+11,0%,0%,25%,93%,94%,94%
1.2011E+11,0%,0%,6%,25%,42%,54%
1.2011E+11,0%,0%,1%,3%,3%,3%
1.2011E+11,0%,0%,6%,24%,24%,24%
1.2011E+11,0%,0%,18%,67%,72%,76%
1.2011E+11,0%,0%,0%,0%,0%,4%
1.2011E+11,0%,0%,2%,26%,61%,73%
1.2011E+11,0%,0%,17%,64%,67%,71%
1.2011E+11,0%,0%,0%,7%,18%,36%
1.2011E+11,0%,0%,7%,40%,66%,76%
1.2011E+11,0%,0%,3%,23%,44%,64%
1.2011E+11,0%,0%,20%,73%,73%,73%
1.2011E+11,0%,0%,11%,61%,92%,92%
1.2011E+11,0%,0%,26%,54%,67%,70%
1.2011E+11,0%,0%,49%,77%,79%,78%
1.2011E+11,0%,0%,64%,100%,100%,100%
1.2011E+11,0%,0%,32%,83%,95%,95%
1.2011E+11,0%,0%,12%,52%,93%,100%
1.2011E+11,0%,0%,55%,87%,87%,87%
1.2011E+11,0%,0%,54%,84%,85%,85%
1.2011E+11,0%,0%,60%,100%,100%,100%
1.2011E+11,0%,0%,19%,73%,95%,98%
1.2011E+11,0%,0%,0%,12%,84%,99%
1.2011E+11,0%,0%,0%,0%,13%,53%
1.2011E+11,0%,0%,1%,20%,77%,98%
1.2011E+11,0%,0%,0%,0%,39%,88%
1.2011E+11,0%,0%,0%,23%,86%,98%
1.2011E+11,0%,0%,0%,0%,10%,42%
1.2011E+11,0%,0%,0%,0%,0%,8%
1.2011E+11,0%,0%,0%,0%,0%,1%
1.2011E+11,0%,0%,0%,0%,0%,3%
1.2011E+11,0%,0%,43%,91%,98%,100%
1.2011E+11,0%,0%,2%,24%,75%,94%
1.2011E+11,0%,0%,0%,0%,0%,4%
1.2011E+11,0%,0%,0%,10%,46%,59%
1.2011E+11,0%,0%,0%,0%,1%,19%
1.2011E+11,0%,0%,0%,12%,48%,60%
1.2011E+11,0%,0%,32%,75%,90%,91%
1.2011E+11,0%,0%,54%,97%,98%,98%
1.2011E+11,0%,0%,12%,66%,100%,100%
1.2011E+11,0%,0%,46%,87%,95%,94%
1.2011E+11,0%,0%,41%,86%,100%,100%
1.2011E+11,0%,0%,1%,30%,98%,100%
1.2011E+11,0%,0%,17%,44%,71%,78%
1.2011E+11,0%,0%,28%,88%,100%,100%
1.2011E+11,0%,0%,3%,16%,36%,51%
1.2011E+11,0%,0%,1%,10%,58%,84%
1.2011E+11,0%,0%,0%,0%,0%,10%
1.20111E+11,0%,0%,17%,71%,95%,96%
1.20111E+11,0%,0%,7%,30%,74%,93%
1.20111E+11,0%,0%,10%,41%,75%,81%
1.20111E+11,0%,0%,8%,20%,24%,26%
1.20111E+11,0%,3%,9%,13%,16%,20%
1.20111E+11,0%,0%,0%,0%,1%,3%
1.20111E+11,0%,0%,2%,8%,15%,25%
1.20111E+11,0%,0%,6%,20%,37%,53%
1.20111E+11,0%,3%,40%,70%,92%,96%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,2%,6%,17%
1.20111E+11,0%,0%,2%,7%,13%,16%
1.20111E+11,0%,0%,3%,27%,67%,79%
1.20111E+11,0%,0%,28%,60%,83%,88%
1.20111E+11,0%,0%,4%,29%,66%,81%
1.20111E+11,0%,0%,3%,20%,47%,56%
1.20111E+11,0%,0%,6%,36%,75%,85%
1.20111E+11,0%,0%,3%,27%,62%,77%
1.20111E+11,0%,0%,0%,0%,3%,15%
1.20111E+11,0%,0%,0%,5%,40%,70%
1.20111E+11,0%,0%,9%,43%,71%,82%
1.20111E+11,0%,0%,22%,62%,83%,90%
1.20111E+11,0%,0%,0%,0%,8%,18%
1.20111E+11,0%,0%,3%,15%,31%,43%
1.20111E+11,0%,0%,2%,36%,92%,99%
1.20111E+11,0%,0%,10%,37%,70%,87%
1.20111E+11,0%,0%,6%,30%,44%,52%
1.20111E+11,0%,0%,8%,48%,83%,86%
1.20111E+11,0%,3%,64%,98%,100%,100%
1.20111E+11,0%,0%,24%,74%,100%,100%
1.20111E+11,0%,0%,60%,99%,100%,100%
1.20111E+11,0%,2%,36%,62%,77%,82%
1.20111E+11,0%,0%,0%,8%,61%,86%
1.20111E+11,0%,0%,33%,88%,100%,100%
1.20111E+11,0%,0%,0%,0%,0%,9%
1.20111E+11,0%,0%,0%,0%,0%,2%
1.20111E+11,0%,0%,0%,0%,11%,45%
1.20111E+11,0%,0%,37%,91%,100%,100%
1.20111E+11,0%,0%,0%,18%,89%,100%
1.20111E+11,0%,0%,11%,31%,51%,60%
1.20111E+11,0%,0%,6%,25%,30%,38%
1.20111E+11,0%,0%,0%,5%,27%,41%
1.20111E+11,0%,0%,9%,41%,70%,81%
1.20111E+11,0%,0%,41%,93%,100%,100%
1.20111E+11,0%,0%,24%,92%,100%,100%
1.20111E+11,0%,0%,20%,86%,100%,100%
1.20111E+11,0%,0%,6%,21%,48%,66%
1.20111E+11,0%,0%,47%,89%,100%,100%
1.20111E+11,0%,0%,2%,12%,65%,91%
1.20111E+11,0%,0%,22%,74%,100%,100%
1.20111E+11,0%,0%,3%,49%,100%,100%
1.20111E+11,0%,0%,19%,75%,100%,100%
1.20111E+11,0%,0%,10%,39%,67%,77%
1.20111E+11,0%,0%,0%,2%,23%,49%
1.20111E+11,0%,0%,18%,49%,73%,80%
1.20111E+11,0%,0%,66%,100%,100%,100%
1.20111E+11,0%,0%,40%,83%,98%,100%
1.20111E+11,0%,0%,34%,62%,77%,82%
1.20111E+11,0%,0%,35%,93%,100%,100%
1.20111E+11,0%,0%,56%,100%,100%,100%
1.20111E+11,0%,0%,2%,17%,62%,81%
1.20111E+11,0%,0%,6%,26%,48%,61%
1.20111E+11,0%,0%,30%,73%,83%,83%
1.20111E+11,0%,0%,11%,33%,67%,53%
1.20111E+11,0%,0%,26%,59%,80%,87%
1.20111E+11,0%,0%,34%,68%,89%,95%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,1%,5%,17%,26%
1.20111E+11,0%,0%,0%,0%,0%,1%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,1%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,1%
1.20111E+11,0%,0%,0%,0%,0%,4%
1.20111E+11,0%,0%,3%,22%,57%,71%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,2%
1.20111E+11,0%,0%,0%,1%,28%,48%
1.20111E+11,0%,0%,0%,0%,11%,35%
1.20111E+11,0%,0%,1%,25%,84%,91%
1.20111E+11,0%,0%,0%,0%,11%,31%
1.20111E+11,0%,0%,2%,34%,81%,88%
1.20111E+11,0%,0%,0%,7%,55%,76%
1.20111E+11,0%,0%,0%,15%,77%,95%
1.20111E+11,0%,3%,74%,100%,100%,100%
1.20111E+11,0%,0%,48%,94%,100%,100%
1.20111E+11,0%,1%,67%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,56%,95%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,62%,100%,100%,100%
1.20111E+11,0%,0%,58%,95%,98%,98%
1.20111E+11,0%,0%,50%,95%,100%,100%
1.20111E+11,0%,0%,61%,99%,100%,100%
1.20111E+11,0%,0%,4%,47%,93%,98%
1.20111E+11,0%,0%,16%,69%,100%,100%
1.20111E+11,0%,0%,5%,31%,62%,74%
1.20111E+11,0%,0%,0%,3%,22%,39%
1.20111E+11,0%,0%,0%,0%,13%,21%
1.20111E+11,0%,0%,0%,0%,20%,47%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,57%,100%,100%,100%
1.20111E+11,0%,0%,14%,55%,97%,100%
1.20111E+11,0%,0%,41%,81%,97%,99%
1.20111E+11,0%,0%,15%,60%,92%,98%
1.20111E+11,0%,0%,57%,96%,100%,100%
1.20111E+11,0%,0%,50%,94%,100%,100%
1.20111E+11,0%,0%,4%,35%,92%,96%
1.20111E+11,0%,0%,1%,4%,24%,36%
1.20111E+11,0%,0%,0%,4%,17%,32%
1.20111E+11,0%,0%,0%,5%,49%,76%
1.20111E+11,0%,0%,21%,68%,88%,92%
1.20111E+11,0%,0%,14%,63%,100%,100%
1.20111E+11,0%,0%,17%,75%,100%,100%
1.20111E+11,0%,1%,65%,100%,100%,100%
1.20111E+11,0%,0%,66%,100%,100%,100%
1.20111E+11,0%,1%,69%,100%,100%,100%
1.20111E+11,0%,1%,67%,100%,100%,100%
1.20111E+11,0%,0%,59%,100%,100%,100%
1.20111E+11,0%,0%,64%,97%,98%,98%
1.20111E+11,0%,0%,52%,79%,86%,82%
1.20111E+11,0%,0%,53%,98%,100%,100%
1.20111E+11,0%,2%,72%,100%,100%,100%
1.20111E+11,0%,0%,0%,1%,39%,73%
1.20111E+11,0%,0%,0%,9%,61%,85%
1.20111E+11,0%,0%,0%,1%,27%,54%
1.20111E+11,0%,0%,13%,59%,79%,81%
1.20111E+11,0%,0%,0%,0%,5%,26%
1.20111E+11,0%,0%,1%,14%,52%,79%
1.20111E+11,0%,0%,2%,6%,22%,35%
1.20111E+11,0%,1%,39%,75%,95%,98%
1.20111E+11,0%,1%,28%,48%,62%,71%
1.20111E+11,0%,0%,12%,51%,84%,90%
1.20111E+11,0%,0%,5%,34%,94%,100%
1.20111E+11,0%,0%,14%,60%,89%,93%
1.20111E+11,0%,0%,0%,11%,62%,87%
1.20111E+11,0%,0%,0%,0%,2%,21%
1.20111E+11,0%,0%,0%,5%,67%,89%
1.20111E+11,0%,0%,0%,0%,7%,28%
1.20111E+11,0%,0%,11%,34%,66%,75%
1.20111E+11,0%,0%,59%,95%,97%,96%
1.20111E+11,0%,0%,60%,100%,100%,100%
1.20111E+11,0%,1%,66%,100%,100%,100%
1.20111E+11,0%,0%,26%,57%,81%,82%
1.20111E+11,0%,0%,59%,99%,100%,100%
1.20111E+11,0%,0%,63%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,57%,100%,100%,100%
1.20111E+11,0%,1%,66%,100%,100%,100%
1.20111E+11,0%,0%,33%,66%,78%,86%
1.20111E+11,0%,2%,58%,89%,98%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,65%,100%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,43%,71%,71%,71%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,57%,94%,96%,95%
1.20111E+11,0%,0%,64%,97%,98%,98%
1.20111E+11,0%,0%,62%,100%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,62%,100%,100%,100%
1.20111E+11,0%,0%,62%,100%,100%,100%
1.20111E+11,0%,0%,62%,100%,100%,100%
1.20111E+11,0%,0%,61%,100%,100%,100%
1.20111E+11,0%,0%,39%,76%,87%,91%
1.20111E+11,0%,0%,50%,100%,100%,100%
1.20111E+11,0%,0%,19%,51%,74%,77%
1.20111E+11,0%,0%,0%,1%,13%,23%
1.20111E+11,0%,0%,33%,73%,87%,89%
1.20111E+11,0%,0%,16%,48%,65%,72%
1.20111E+11,0%,0%,34%,69%,75%,78%
1.20111E+11,0%,0%,26%,63%,79%,82%
1.20111E+11,0%,0%,42%,82%,90%,92%
1.20111E+11,0%,0%,28%,78%,98%,100%
1.20111E+11,0%,0%,35%,69%,84%,89%
1.20111E+11,0%,0%,8%,23%,36%,53%
1.20111E+11,0%,0%,11%,49%,87%,96%
1.20111E+11,0%,1%,65%,95%,97%,97%
1.20111E+11,0%,1%,45%,86%,93%,93%
1.20111E+11,0%,1%,28%,58%,75%,86%
1.20111E+11,0%,0%,41%,76%,96%,99%
1.20111E+11,0%,0%,3%,13%,29%,40%
1.20111E+11,0%,0%,0%,1%,21%,35%
1.20111E+11,0%,0%,63%,100%,100%,100%
1.20111E+11,0%,6%,71%,96%,98%,98%
1.20111E+11,0%,1%,23%,53%,70%,78%
1.20111E+11,0%,1%,25%,65%,77%,83%
1.20111E+11,0%,1%,45%,79%,87%,91%
1.20111E+11,0%,0%,21%,67%,83%,84%
1.20111E+11,0%,0%,9%,33%,72%,88%
1.20111E+11,0%,0%,49%,81%,90%,93%
1.20111E+11,0%,0%,52%,84%,92%,98%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,1%,8%,21%,33%
1.20111E+11,0%,0%,0%,0%,0%,11%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,54%,88%,99%,100%
1.20111E+11,0%,0%,60%,97%,99%,99%
1.20111E+11,0%,0%,29%,57%,67%,73%
1.20111E+11,0%,0%,0%,1%,2%,9%
1.20111E+11,0%,0%,10%,44%,68%,78%
1.20111E+11,0%,0%,12%,55%,87%,97%
1.20111E+11,0%,0%,22%,70%,94%,98%
1.20111E+11,0%,0%,35%,74%,86%,89%
1.20111E+11,0%,0%,27%,85%,99%,100%
1.20111E+11,0%,0%,30%,90%,97%,100%
1.20111E+11,0%,0%,28%,86%,97%,100%
1.20111E+11,0%,0%,30%,90%,99%,100%
1.20111E+11,0%,0%,34%,100%,100%,100%
1.20111E+11,0%,0%,25%,76%,96%,100%
1.20111E+11,0%,0%,30%,89%,99%,100%
1.20111E+11,0%,0%,32%,91%,100%,100%
1.20111E+11,0%,0%,17%,60%,81%,87%
1.20111E+11,0%,0%,32%,95%,98%,99%
1.20111E+11,0%,0%,31%,93%,98%,100%
1.20111E+11,0%,0%,0%,14%,67%,96%
1.20111E+11,0%,0%,36%,99%,100%,100%
1.20111E+11,0%,0%,3%,35%,93%,100%
1.20111E+11,0%,0%,5%,62%,100%,100%
1.20111E+11,0%,0%,0%,12%,67%,95%
1.20111E+11,0%,0%,33%,100%,100%,100%
1.20111E+11,0%,0%,34%,98%,100%,100%
1.20111E+11,0%,0%,17%,62%,86%,95%
1.20111E+11,0%,0%,0%,6%,41%,54%
1.20111E+11,0%,0%,47%,94%,100%,100%
1.20111E+11,0%,0%,13%,29%,36%,61%
1.20111E+11,0%,0%,37%,82%,89%,92%
1.20111E+11,0%,0%,57%,95%,100%,100%
1.20111E+11,0%,0%,57%,96%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,63%,100%,100%,100%
1.20111E+11,0%,0%,60%,97%,99%,100%
1.20111E+11,0%,0%,63%,99%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,62%,97%,98%,98%
1.20111E+11,0%,0%,12%,45%,63%,69%
1.20111E+11,0%,0%,50%,100%,100%,100%
1.20111E+11,0%,0%,55%,100%,100%,100%
1.20111E+11,0%,0%,0%,0%,14%,48%
1.20111E+11,0%,0%,0%,0%,0%,21%
1.20111E+11,0%,0%,30%,79%,92%,96%
1.20111E+11,0%,0%,0%,0%,13%,42%
1.20111E+11,0%,0%,4%,24%,52%,69%
1.20111E+11,0%,0%,0%,0%,0%,3%
1.20111E+11,0%,0%,49%,78%,98%,100%
1.20111E+11,0%,0%,48%,87%,97%,100%
1.20111E+11,0%,1%,63%,98%,100%,100%
1.20111E+11,0%,0%,24%,69%,89%,94%
1.20111E+11,0%,0%,42%,83%,95%,95%
1.20111E+11,0%,0%,17%,35%,65%,73%
1.20111E+11,0%,0%,49%,87%,95%,97%
1.20111E+11,0%,2%,72%,100%,100%,100%
1.20111E+11,0%,2%,71%,100%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,62%,99%,100%,100%
1.20111E+11,0%,0%,55%,100%,100%,100%
1.20111E+11,0%,0%,27%,94%,100%,100%
1.20111E+11,0%,0%,30%,97%,100%,100%
1.20111E+11,0%,0%,6%,21%,43%,60%
1.20111E+11,0%,0%,15%,69%,99%,100%
1.20111E+11,0%,0%,64%,100%,100%,100%
1.20111E+11,0%,0%,64%,99%,99%,99%
1.20111E+11,0%,0%,37%,89%,92%,95%
1.20111E+11,0%,0%,34%,97%,100%,100%
1.20111E+11,0%,0%,8%,30%,77%,88%
1.20111E+11,0%,0%,12%,57%,60%,61%
1.20111E+11,0%,0%,5%,39%,82%,90%
1.20111E+11,0%,0%,27%,88%,100%,100%
1.20111E+11,0%,0%,11%,37%,62%,72%
1.20111E+11,0%,1%,22%,36%,41%,45%
1.20111E+11,0%,2%,39%,54%,56%,57%
1.20111E+11,0%,1%,67%,100%,100%,100%
1.20111E+11,0%,0%,22%,46%,69%,79%
1.20111E+11,0%,0%,42%,85%,90%,94%
1.20111E+11,0%,0%,63%,100%,100%,100%
1.20111E+11,0%,0%,63%,100%,100%,100%
1.20111E+11,0%,0%,24%,53%,65%,75%
1.20111E+11,0%,0%,8%,36%,77%,89%
1.20111E+11,0%,0%,47%,70%,71%,71%
1.20111E+11,0%,0%,25%,63%,81%,83%
1.20111E+11,0%,0%,12%,46%,64%,70%
1.20111E+11,0%,0%,19%,50%,67%,74%
1.20111E+11,0%,0%,6%,17%,25%,32%
1.20111E+11,0%,0%,37%,67%,80%,85%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,1%,7%,17%,26%,27%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,11%,39%,40%,40%
1.20111E+11,0%,0%,6%,14%,18%,18%
1.20111E+11,0%,0%,2%,24%,36%,36%
1.20111E+11,0%,0%,22%,81%,81%,81%
1.20111E+11,0%,1%,23%,43%,68%,77%
1.20111E+11,0%,0%,0%,0%,1%,12%
1.20111E+11,0%,0%,9%,36%,61%,63%
1.20111E+11,0%,0%,0%,0%,5%,19%
1.20111E+11,0%,0%,5%,42%,82%,82%
1.20111E+11,0%,0%,0%,0%,4%,13%
1.20111E+11,0%,0%,0%,0%,0%,4%
1.20111E+11,0%,0%,11%,47%,73%,78%
1.20111E+11,0%,0%,54%,95%,100%,100%
1.20111E+11,0%,0%,28%,59%,73%,78%
1.20111E+11,0%,0%,2%,13%,32%,42%
1.20111E+11,0%,0%,10%,25%,30%,36%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,24%,47%,54%,59%
1.20111E+11,0%,1%,59%,95%,97%,97%
1.20111E+11,0%,1%,45%,75%,84%,89%
1.20111E+11,0%,0%,57%,99%,100%,100%
1.20111E+11,0%,0%,25%,55%,77%,84%
1.20111E+11,0%,0%,29%,53%,59%,67%
1.20111E+11,0%,0%,13%,45%,83%,92%
1.20111E+11,0%,0%,5%,32%,53%,69%
1.20111E+11,0%,0%,14%,85%,100%,100%
1.20111E+11,0%,0%,4%,56%,100%,100%
1.20111E+11,0%,1%,42%,89%,97%,97%
1.20111E+11,0%,0%,2%,21%,65%,76%
1.20111E+11,0%,0%,16%,73%,100%,100%
1.20111E+11,0%,0%,17%,89%,100%,100%
1.20111E+11,0%,0%,6%,46%,76%,84%
1.20111E+11,0%,0%,10%,72%,96%,97%
1.20111E+11,0%,0%,6%,62%,100%,100%
1.20111E+11,0%,0%,0%,3%,14%,23%
1.20111E+11,0%,0%,11%,25%,37%,47%
1.20111E+11,0%,0%,0%,0%,11%,26%
1.20111E+11,0%,0%,10%,47%,91%,99%
1.20111E+11,0%,0%,19%,40%,50%,55%
1.20111E+11,0%,1%,54%,88%,95%,95%
1.20111E+11,0%,0%,17%,48%,63%,68%
1.20111E+11,0%,0%,0%,0%,0%,1%
1.20111E+11,0%,0%,0%,0%,0%,5%
1.20111E+11,0%,0%,4%,24%,44%,55%
1.20111E+11,0%,0%,0%,21%,77%,93%
1.20111E+11,0%,0%,0%,1%,4%,9%
1.20111E+11,0%,0%,0%,0%,0%,2%
1.20111E+11,0%,0%,0%,0%,6%,31%
1.20111E+11,0%,0%,1%,44%,100%,100%
1.20111E+11,0%,0%,0%,0%,31%,72%
1.20111E+11,0%,0%,0%,3%,59%,95%
1.20111E+11,0%,0%,0%,0%,2%,5%
1.20111E+11,0%,0%,0%,0%,0%,2%
1.20111E+11,0%,0%,0%,2%,19%,37%
1.20111E+11,0%,0%,4%,21%,42%,48%
1.20111E+11,0%,0%,5%,27%,43%,53%
1.20111E+11,0%,0%,0%,0%,0%,1%
1.20111E+11,0%,0%,0%,0%,1%,5%
1.20111E+11,0%,0%,15%,54%,69%,69%
1.20111E+11,0%,0%,16%,58%,78%,78%
1.20111E+11,0%,0%,10%,47%,81%,85%
1.20111E+11,0%,0%,0%,1%,16%,34%
1.20111E+11,0%,0%,0%,0%,7%,28%
1.20111E+11,0%,0%,0%,0%,17%,36%
1.20111E+11,0%,0%,19%,69%,69%,69%
1.20111E+11,0%,0%,23%,84%,84%,84%
1.20111E+11,0%,0%,16%,55%,55%,55%
1.20111E+11,0%,0%,2%,6%,6%,6%
1.20111E+11,0%,0%,19%,69%,69%,69%
1.20111E+11,0%,0%,23%,61%,65%,65%
1.20111E+11,0%,0%,23%,83%,83%,83%
1.20111E+11,0%,0%,15%,57%,57%,58%
1.20111E+11,0%,0%,5%,22%,28%,35%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,0%,2%,14%,38%,51%
1.20111E+11,0%,0%,37%,94%,95%,95%
1.20111E+11,0%,0%,12%,49%,70%,77%
1.20111E+11,0%,0%,24%,78%,100%,100%
1.20111E+11,0%,0%,2%,20%,40%,48%
1.20111E+11,0%,0%,0%,0%,14%,34%
1.20111E+11,0%,0%,2%,16%,64%,83%
1.20111E+11,0%,0%,0%,0%,0%,5%
1.20111E+11,0%,0%,0%,0%,0%,0%
1.20111E+11,0%,1%,5%,15%,29%,36%
1.20111E+11,0%,0%,0%,0%,0%,4%
1.20111E+11,0%,1%,11%,31%,50%,59%
1.20111E+11,0%,3%,13%,24%,42%,55%
1.20111E+11,0%,0%,19%,54%,79%,88%
1.20111E+11,0%,1%,16%,35%,61%,68%
1.20111E+11,0%,0%,1%,16%,48%,60%
1.20111E+11,0%,0%,13%,36%,56%,63%
1.20111E+11,0%,0%,0%,1%,12%,17%
1.20111E+11,0%,0%,0%,0%,0%,2%
1.20111E+11,0%,0%,0%,0%,11%,21%
1.20111E+11,0%,0%,0%,0%,3%,11%
1.20111E+11,0%,0%,8%,35%,64%,74%
1.20111E+11,0%,0%,0%,0%,6%,17%
1.20111E+11,0%,0%,0%,2%,25%,40%
1.20111E+11,0%,0%,0%,0%,4%,18%
1.20111E+11,0%,0%,0%,0%,0%,1%
1.20111E+11,0%,0%,0%,0%,0%,7%
1.20111E+11,0%,0%,5%,24%,51%,66%
1.20111E+11,0%,0%,15%,67%,85%,92%
1.20111E+11,0%,0%,17%,77%,91%,91%
1.20111E+11,0%,0%,27%,92%,100%,100%
1.20111E+11,0%,0%,9%,48%,96%,100%
1.20111E+11,0%,0%,51%,99%,100%,100%
1.20111E+11,0%,2%,71%,100%,100%,100%
1.20111E+11,0%,2%,72%,100%,100%,100%
1.20111E+11,0%,4%,71%,100%,100%,100%
1.20111E+11,0%,1%,64%,100%,100%,100%
1.20111E+11,0%,0%,65%,100%,100%,100%
1.20111E+11,0%,2%,73%,99%,99%,99%
1.20111E+11,0%,0%,66%,100%,100%,100%
1.20111E+11,0%,0%,64%,98%,98%,98%
1.20111E+11,0%,4%,58%,75%,75%,75%
1.20111E+11,0%,3%,78%,100%,100%,100%
1.20111E+11,0%,1%,67%,97%,97%,97%
1.20111E+11,0%,2%,69%,97%,97%,97%
1.20111E+11,0%,2%,68%,89%,89%,89%
1.20111E+11,0%,2%,68%,100%,100%,100%
1.20111E+11,0%,2%,67%,100%,100%,100%
1.20111E+11,0%,1%,68%,99%,99%,99%
1.20111E+11,0%,0%,40%,99%,100%,100%
1.20111E+11,0%,0%,11%,76%,100%,100%
1.20111E+11,0%,0%,18%,80%,100%,100%
1.20111E+11,0%,0%,13%,42%,79%,93%
1.20111E+11,0%,0%,25%,53%,72%,80%
1.20111E+11,0%,0%,56%,99%,100%,100%
1.20111E+11,0%,0%,7%,13%,37%,48%
1.20111E+11,0%,0%,42%,89%,99%,99%
1.20111E+11,0%,0%,38%,66%,75%,75%
1.20111E+11,0%,1%,26%,53%,86%,99%
1.20111E+11,0%,3%,32%,52%,75%,78%
1.20111E+11,0%,1%,52%,85%,90%,92%
1.20111E+11,0%,0%,43%,78%,88%,91%
